2306.5,1664.5,2306.5,2131.5,2237.5,1443.5,2308.5,1038.5,2305.5,422.5
2314.5,1661.5,2315.5,2125.5,2258.5,1435.5,2355.5,1028.5,2402.5,418.5
2303.5,1662.5,2308.5,2130.5,2266.5,1437.5,2401.5,1039.5,2516.5,434.5
2306.5,1666.5,2307.5,2131.5,2284.5,1435.5,2457.5,1049.5,2614.5,461.5
2308.5,1664.5,2306.5,2131.5,2299.5,1434.5,2508.5,1067.5,2723.5,493.5
2308.5,1664.5,2307.5,2129.5,2317.5,1435.5,2561.5,1086.5,2825.5,534.5
2308.5,1665.5,2310.5,2130.5,2332.5,1435.5,2612.5,1113.5,2933.5,591.5
2309.5,1664.5,2310.5,2130.5,2346.5,1439.5,2658.5,1146.5,3031.5,661.5
2308.5,1664.5,2307.5,2130.5,2366.5,1444.5,2702.5,1178.5,3124.5,737.5
2315.5,1658.5,2316.5,2125.5,2387.5,1441.5,2750.5,1214.5,3216.5,818.5
2311.5,1663.5,2312.5,2128.5,2399.5,1451.5,2782.5,1256.5,3285.5,911.5
2306.5,1666.5,2307.5,2132.5,2409.5,1460.5,2806.5,1311.5,3345.5,1015.5
2305.5,1664.5,2308.5,2131.5,2424.5,1473.5,2828.5,1359.5,3397.5,1113.5
2306.5,1663.5,2306.5,2130.5,2436.5,1474.5,2856.5,1413.5,3440.5,1227.5
2304.5,1665.5,2306.5,2130.5,2447.5,1484.5,2866.5,1457.5,3473.5,1335.5
2308.5,1665.5,2304.5,2130.5,2457.5,1494.5,2881.5,1510.5,3495.5,1444.5
2314.5,1661.5,2314.5,2124.5,2477.5,1498.5,2896.5,1559.5,3513.5,1546.5
2307.5,1666.5,2310.5,2130.5,2480.5,1514.5,2889.5,1608.5,3507.5,1666.5
2314.5,1663.5,2312.5,2127.5,2497.5,1525.5,2887.5,1653.5,3498.5,1751.5
2313.5,1656.5,2315.5,2122.5,2504.5,1539.5,2875.5,1699.5,3475.5,1859.5
2310.5,1664.5,2308.5,2129.5,2508.5,1547.5,2858.5,1744.5,3444.5,1963.5
2311.5,1661.5,2311.5,2126.5,2517.5,1561.5,2846.5,1785.5,3406.5,2057.5
2307.5,1664.5,2308.5,2132.5,2521.5,1579.5,2820.5,1832.5,3352.5,2155.5
2312.5,1660.5,2313.5,2124.5,2531.5,1593.5,2800.5,1867.5,3299.5,2240.5
2309.5,1663.5,2309.5,2128.5,2529.5,1613.5,2768.5,1908.5,3231.5,2329.5